company_code,source_type,publish_date,title,content,processed
688585,announcement,2026-01-31,[688585] 上纬新材 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,068.14万元至5,568.14万元,同比上年下降:37%至54%,同比上年降低3,300万元至4,800万元。",True
688575,announcement,2026-01-31,[688575] 亚辉龙 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:6,500万元至8,500万元,同比上年下降:70.42%至77.38%,同比上年降低20,233.33万元至22,233.33万元。",True
688573,announcement,2026-01-31,[688573] 信宇人 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:41,000万元至49,000万元。",True
688570,announcement,2026-01-31,[688570] 天玛智控 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:8,400万元至11,340万元,同比上年下降:66.61%至75.26%,同比上年降低22,617.51万元至25,557.51万元。",True
688567,announcement,2026-01-31,[688567] 孚能科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:61,180万元至86,180万元。",True
688565,announcement,2026-01-31,[688565] 力源科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:2,080万元至2,450万元,同比上年增长:11.35%至24.74%,同比上年增长313.66万元至683.66万元。",True
688561,announcement,2026-01-31,[688561] 奇安信 业绩预告,"预计2025年1-12月营业收入约:439,100万元。",True
688549,announcement,2026-01-31,[688549] 中巨芯 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,400万元至2,000万元。",True
688522,announcement,2026-01-31,[688522] 纳睿雷达 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利约:11,812.16万元,同比上年增长:54.16%左右,同比上年增长4,149.82万元左右。",True
688520,announcement,2026-01-31,[688520] 神州细胞 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:50,300万元至56,300万元。",True
688512,announcement,2026-01-31,[688512] 慧智微 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:16,800万元至23,500万元。",True
688506,announcement,2026-01-31,[688506] 百利天恒 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:120,000万元,同比上年下降:133.01%左右,同比上年降低483,553.75万元左右。",True
688505,announcement,2026-01-31,[688505] 复旦张江 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:14,000万元至20,000万元。",True
688499,announcement,2026-01-31,[688499] 利元亨 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,700万元至5,600万元。",True
688489,announcement,2026-01-31,[688489] 三未信安 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:5,023.31万元至7,497.47万元。",True
688472,announcement,2026-01-31,[688472] 阿特斯 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:90,000万元至110,000万元,同比上年下降:51%至60%,同比上年降低112,646.82万元至132,646.82万元。",True
688458,announcement,2026-01-31,[688458] 美芯晟 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,300万元至1,600万元,同比上年增长:75.94%至80.45%,同比上年增长5,050万元至5,350万元。",True
688418,announcement,2026-01-31,[688418] 震有科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,250万元至8,550万元。",True
688410,announcement,2026-01-31,[688410] 山外山 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:14,035.49万元至15,949.42万元,同比上年增长:98%至125%,同比上年增长6,946.86万元至8,860.79万元。",True
688400,announcement,2026-01-31,[688400] 凌云光 业绩预告,"预计2025年1-12月营业收入约:291,000万元,同比上年增长:30.26%左右,同比上年增长67,600万元左右。",True
688399,announcement,2026-01-31,[688399] 硕世生物 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:8,190万元至12,280万元,同比上年降低1,006.29万元至5,096.29万元。",True
688393,announcement,2026-01-31,[688393] 安必平 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:4,200万元至5,200万元,同比上年下降:297.26%至344.23%,同比上年降低6,329.13万元至7,329.13万元。",True
688391,announcement,2026-01-31,[688391] 钜泉科技 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:3,800万元至5,000万元,同比上年下降:46.58%至59.4%,同比上年降低4,359.36万元至5,559.36万元。",True
688381,announcement,2026-01-31,[688381] 帝奥微 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:5,500万元至8,200万元,同比上年下降:16.85%至74.22%,同比上年降低793.18万元至3,493.18万元。",True
688370,announcement,2026-01-31,[688370] 丛麟科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:600万元至1,200万元,同比上年下降:111.06%至122.13%,同比上年降低6,023.07万元至6,623.07万元。",True
688368,announcement,2026-01-31,[688368] 晶丰明源 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利约:1,800万元,同比上年增长:299.79%左右,同比上年增长2,700.95万元左右。",True
688365,announcement,2026-01-31,[688365] 光云科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:2,800万元至3,500万元,同比上年增长:52.05%至61.64%,同比上年增长3,798.71万元至4,498.71万元。",True
688363,announcement,2026-01-31,[688363] 华熙生物 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:16,700万元至21,700万元,同比上年增长:55.68%至102.29%,同比上年增长5,972.8万元至10,972.8万元。",True
688361,announcement,2026-01-31,[688361] 中科飞测 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:10,000万元至14,500万元,同比上年变动-2,089.63万元至2,410.37万元。",True
688353,announcement,2026-01-31,[688353] 华盛锂电 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:1,200万元至1,800万元,同比上年增长:106.87%至110.3%,同比上年增长18,667.48万元至19,267.48万元。",True
688349,announcement,2026-01-31,[688349] 三一重能 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:41,500万元至61,500万元,同比上年下降:61.44%至73.98%,同比上年降低97,983.1万元至117,983.1万元。",True
688348,announcement,2026-01-31,[688348] 昱能科技 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:11,500万元至14,000万元。",True
688343,announcement,2026-01-31,[688343] 云天励飞 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:45,856万元至61,856万元,同比上年增长:9.5%至32.91%,同比上年增长6,489.58万元至22,489.58万元。",True
688339,announcement,2026-01-31,[688339] 亿华通 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:55,000万元至72,000万元,同比上年下降:20.5%至57.74%。",True
688331,announcement,2026-01-31,[688331] 荣昌生物 业绩预告,"预计2025年1-12月营业收入约:325,000万元,同比上年增长:89%左右,同比上年增长153,314万元左右。",True
688323,announcement,2026-01-31,[688323] 瑞华泰 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:8,000万元至10,000万元,同比上年下降:39.68%至74.6%,同比上年降低2,272.51万元至4,272.51万元。",True
688322,announcement,2026-01-31,[688322] 奥比中光 业绩预告,"预计2025年1-12月营业收入约:94,000万元,同比上年增长:66.53%左右,同比上年增长37,554.1万元左右。",True
688311,announcement,2026-01-31,[688311] 盟升电子 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:3,700万元至4,500万元,同比上年增长22,419.06万元至23,219.06万元。",True
688302,announcement,2026-01-31,[688302] 海创药业 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:12,500万元至15,000万元,同比上年增长:24.81%至37.34%,同比上年增长4,949.57万元至7,449.57万元。",True
688297,announcement,2026-01-31,[688297] 中无人机 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:8,000万元至9,500万元。",True
688293,announcement,2026-01-31,[688293] 奥浦迈 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利约:2,100万元,同比上年增长:218.86%左右,同比上年增长1,441.41万元左右。",True
